DateTime_utc,NeutronCount_Epithermal_Cum1h_corrected,NeutronCount_Epithermal_Cum1h_corrected_std,NeutronCount_Epithermal_MovAvg24h_corrected,NeutronCount_Epithermal_MovAvg24h_corrected_std,Flag_Extreme_Counts,Flag_AirPressure_ERA5,AirHumidity_gapfilled,Flag_AirHumidity_ERA5,Flag_Porosity_Excess,Flag_Snow_ERA5,SoilMoisture_volumetric_MovAvg24h,SoilMoisture_volumetric_MovAvg24h_std,SoilMoisture_volumetric_MovAvg24h_lower,SoilMoisture_volumetric_MovAvg24h_upper,Footprint_Radius_m,Footprint_Depth_m,Biomass,air_pressure,year
2015-06-30 17:00:00+00:00,1485.17840501208,36.191583242154,1529.54140959319,7.43269575070855,0,0,10.8677437142969,1,0,0,0.257945456981544,,-0.004910982597761,0.0048102736364765,127.013318004122,0.212056104146997,,993,2015
2015-06-30 18:00:00+00:00,1611.52978635896,37.71272814794,1528.29300733822,7.42242665319265,0,0,10.930859367579,1,0,0,0.259082996205105,,-0.0051453055755933,0.0050351263525758,124.990670421557,0.211654276174427,,993,2015
2015-06-30 19:00:00+00:00,1574.03275547616,37.069429509588,1527.50939842621,7.41529833437725,0,0,9.90485247301822,1,0,0,0.259799839911073,,-0.0053020353346036,0.0051852918930299,127.023039046298,0.211402292704058,,993,2015
2015-06-30 20:00:00+00:00,1540.74566403243,36.6325404436081,1530.03808354925,7.41649624488199,0,0,9.71289108460863,1,0,0,0.257494418388683,,-0.0054318183535928,0.0053087669481004,129.114719401311,0.212216101110862,,993,2015
2015-06-30 21:00:00+00:00,1494.27073368429,36.1036083303178,1529.04173310537,7.4097842603579,0,0,9.68128958417159,1,0,0,0.258400099075144,,-0.0056442080994566,0.0055117132786304,127.061947701634,0.21189521501877,,993,2015
2015-06-30 22:00:00+00:00,1495.36941176376,35.8796818591789,1529.48558739514,7.4085501938899,0,0,10.0643591453981,1,0,0,0.25799620440133,,-0.005735688352642,0.0055988009334276,129.213771764999,0.212038126413155,,993,2015
2015-06-30 23:00:00+00:00,1536.09725767416,36.4705158442996,1530.03986607982,7.4078794689334,0,0,10.2635647868578,1,0,0,0.257492801202347,,-0.0059287367945306,0.0057824440498465,129.18402983344,0.212216675463599,,993,2015
2015-07-01 00:00:00+00:00,1511.41294837898,36.1814046219461,1529.94950310457,7.40673041624923,0,0,10.2711465510761,1,0,0,0.257574796334868,,-0.0060978042538346,0.0059431841805784,129.243536207922,0.212187560636432,,993,2015
2015-07-01 01:00:00+00:00,1488.77423942702,35.7523257725128,1528.06350466298,7.40056468694091,0,0,10.3600337669374,1,0,0,0.259292718693148,,-0.0062462650089679,0.0060847011618846,127.276647889063,0.211580456350937,,993,2015
2015-07-01 02:00:00+00:00,1554.46126337865,36.5578537388557,1527.36472918619,7.39791013112214,0,0,10.9903996076743,1,0,0,0.259932422055459,,-0.0064285428715351,0.0062577670560798,125.278759488694,0.211355791916586,,993,2015
2015-07-01 03:00:00+00:00,1593.99411058962,37.0495982533834,1529.0574687773,7.40117943429322,0,0,11.1341370049562,1,0,0,0.258385768176012,,-0.0065535901565304,0.0063756291525338,125.298043076313,0.211900280546498,,993,2015
2015-07-01 04:00:00+00:00,1468.63033934217,35.3502182983444,1528.64555566837,7.39985492286945,0,0,11.044644309211,1,0,0,0.258761196977678,,-0.006632011420175,0.0064499666631837,125.355952342041,0.211767704673187,,993,2015
2015-07-01 05:00:00+00:00,1513.31218027862,35.7586187303235,1527.63789157055,7.39653330645186,0,0,11.0887526141693,1,0,0,0.259682144908532,0.0067799519711706,-0.0067539230199583,0.0065655779435827,125.41394950958,0.211443599313508,,993,2015
2015-07-01 06:00:00+00:00,1517.3224825701,35.8734150801065,1528.57898387099,7.39430614080885,0,0,11.2482541597732,1,0,0,0.258821928680398,0.0067528793467248,-0.0067610138961011,0.0065719428924142,125.41394950958,0.211746283072612,,993,2015
2015-07-01 07:00:00+00:00,1565.43967527179,36.4154225042927,1524.21157210975,7.37918846208825,0,0,12.1142477433641,1,0,0,0.262840790653592,0.0068550133701257,-0.0068638661481011,0.0066706866602132,124.413518526595,0.21034383882913,,993,2015
2015-07-01 08:00:00+00:00,1514.09647644713,35.8071529666017,1519.81660565121,7.36613059324944,0,0,12.4054787651573,1,0,0,0.266954988894779,0.006962313568172,-0.0069740945509401,0.0067764173428416,124.413518526595,0.208938309287786,,993,2015
2015-07-01 09:00:00+00:00,1536.58725603154,36.1976047566861,1518.08899332289,7.36061415775799,0,0,12.5979379452136,1,0,0,0.26859185512732,0.0070048230664882,-0.0070691590186143,0.0068668072404349,121.279336005714,0.208387386438387,,993,2015
2015-07-01 10:00:00+00:00,1539.46260371934,36.2351897972133,1520.66845816787,7.36629476486602,0,0,12.9216895893397,1,0,0,0.266151985962575,0.0069388286539495,-0.0070048903743407,0.0068051626091882,123.327147184492,0.209210285457794,,993,2015
2015-07-01 11:00:00+00:00,1528.32296955003,36.1840950248286,1522.8238897117,7.37407133322821,0,0,13.130238308994,1,0,0,0.264132153200304,0.0068873557099775,-0.0069792387533119,0.006780131831436,123.327147184492,0.209899429093039,,993,2015
2015-07-01 12:00:00+00:00,1492.22953427283,35.6813047364247,1523.39929405566,7.37783483152816,0,0,13.6021482632039,1,0,0,0.263595835115508,0.0068752485436546,-0.0069336670323014,0.0067368994662623,121.36353457556,0.2100836343067,,993,2015
